,classifier name,imputation_strategy,scaling_strategy,accuracy,precision,recall,model_id,best_params
5,RandomForestClassifier,most_frequent,RobustScaler(),0.8355,0.8364,0.8355,5,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 129)])"
3,RandomForestClassifier,most_frequent,StandardScaler(),0.8298,0.8317,0.8298,3,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 100)])"
0,RandomForestClassifier,median,StandardScaler(),0.8284,0.8322,0.8284,0,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 128)])"
7,RandomForestClassifier,knn,MinMaxScaler(),0.8265,0.8284,0.8265,7,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 129)])"
2,RandomForestClassifier,median,RobustScaler(),0.8261,0.8308,0.8261,2,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 133)])"
9,RandomForestClassifier,iterative,StandardScaler(),0.8261,0.8308,0.8261,9,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 126)])"
1,RandomForestClassifier,median,MinMaxScaler(),0.8232,0.8251,0.8232,1,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 146)])"
10,RandomForestClassifier,iterative,MinMaxScaler(),0.8218,0.8255,0.8218,10,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 100)])"
4,RandomForestClassifier,most_frequent,MinMaxScaler(),0.8213,0.8213,0.8213,4,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 100)])"
11,RandomForestClassifier,iterative,RobustScaler(),0.8180,0.8246,0.8180,11,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 146)])"
6,RandomForestClassifier,knn,StandardScaler(),0.8166,0.8251,0.8166,6,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 127)])"
8,RandomForestClassifier,knn,RobustScaler(),0.8129,0.8242,0.8129,8,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 101)])"
