num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks,velocity_above,velocity_below,exp_decay,spread,cluster_id
50211.0,6.5929956,1.0,3.7933302,0.23259966,231.0,0.13091137,81.0,0.115,9.572493e-06,25.78125,0.31655535,0.12744333,0.029176874,3.983191e-05,0.0,4.4,7.459376,1.494521,0.9757424,125.98804,0.0012062988,5.8543053,0.19292772,0.9655,0.0075721154,0.00023666453,-0.41070095,0.0004199962,285280.72,-13543.435,2.0,1.0,,,0.2764653,0.0,0
128347.0,16.852705,1.0,4.9291706,0.2556641,1659.0,0.16447563,653.0,0.055,1.9952864e-05,35.15625,,,0.027947674,3.895689e-05,0.0,12.58,5.7162886,1.388549,0.9539901,144.5346,0.00047489683,5.717873,0.19597954,0.966,0.0125,0.00017666508,-0.2514829,0.00024999774,329604.72,-9877.853,2.0,1.0,,,0.19982617,0.0,1
80.0,0.010504465,0.21428572,6.150503,0.0,0.0,0.0,0.0,,,39.84375,,,0.3375,0.025,0.0,0.0,,,,79.82681,0.10000385,4.245862,0.3026086,0.671875,0.0092,0.0003933298,-0.944364,0.00024666445,248892.06,-79277.62,1.0,2.0,4800.043,,0.0016940058,80.0,2
79.0,0.010373158,0.20634921,3.5745108,813.5245,2.0,1.0,1.0,,,37.5,,,0.37974682,0.012658228,0.0,0.0,,,,75616390000000.0,,3.2190583,0.115786985,0.32575756,0.001308637,0.00045332927,-0.4708301,0.0003866632,141659.3,-23242.098,2.0,1.0,,,,160.0,3
9955.0,1.3071493,0.99206346,1.8548468,1.8187401,71.0,1.0,17.0,,4.0256804e-05,11.71875,,,0.09994978,0.00070316426,0.0,6.78,,,,69.85756,0.2809829,1.7597115,0.10139353,0.6835,0.103365384,0.0008033261,-0.7845404,0.00033999694,46469.25,-19581.799,2.0,2.0,,,0.0023786086,80.0,4
364.0,0.04779531,0.32539684,7.7510724,153.27878,8.0,1.0,6.0,,,79.6875,,,0.55494505,0.09615385,0.0027472528,0.2,,,,71.69293,5.3566303,2.1704233,0.03949531,0.25,0.012560611,0.00045666256,-0.23257264,0.00022666463,389307.62,-26576.057,2.0,1.0,,,0.0636873,160.0,5
61872.0,8.124152,1.0,14.106279,0.434358,655.0,0.5706656,410.0,,1.3210836e-05,49.21875,0.15016104,0.055130266,0.028381174,1.61624e-05,0.0,5.0,3.362225,0.80134904,0.6263036,118.50773,0.48545182,3.809965,0.06692468,0.424,0.046666667,0.000116665615,-0.089737035,9.333249e-05,675613.9,-2703.6445,0.0,0.0,,,1.1919048,20.0,6
21905.0,2.8762536,1.0,12.190728,0.841212,159.0,1.0,128.0,,0.00016514932,42.1875,0.1996482,0.07736447,0.030084455,0.0,0.0,2.6,4.593892,0.89228994,0.6713737,111.96362,0.48861098,4.1395235,0.06392698,0.474,0.058,0.0003199971,-0.15943074,0.00018333168,482629.44,-7764.675,0.0,1.0,,,1.6391782,20.0,7
27.0,0.0035452566,0.15079366,3.7471652,0.0,0.0,0.0,0.0,,,39.84375,,,0.2962963,0.074074075,0.0,0.0,,,,453022950000000.0,,2.4696069,0.0775353,0.022727273,0.0012527561,0.0007833263,-0.46742857,0.00033333033,148455.16,-19955.865,3.0,1.0,,,,100.0,8
23906.0,3.1389966,1.0,2.7316835,2.0655415,465.0,1.0,376.0,,0.00016702847,9.375,,,0.073705345,0.00025098302,0.0,15.2,13.615773,1.7903444,2.4899611,137.59764,0.41429213,7.202198,0.16384724,0.879,0.004333333,0.00046332917,-0.9421841,0.0018933163,38682.953,-10686.339,3.0,2.0,,,0.0020600304,160.0,9
