,0
669,0
220,0
471,0
242,0
221,1
729,0
208,0
164,0
191,0
61,0
319,0
78,0
173,0
221,1
413,0
406,0
773,0
140,0
491,0
275,0
697,1
152,0
609,0
673,1
709,0
334,1
161,0
240,0
575,0
174,0
181,0
697,1
595,0
15,0
526,0
189,0
760,0
583,0
691,0
27,0
606,0
357,0
763,0
320,0
391,0
659,1
144,0
576,0
72,0
640,0
735,0
593,0
334,1
270,0
222,0
533,0
216,0
232,0
475,0
290,1
65,0
81,0
369,0
704,0
567,0
162,0
420,0
142,0
780,0
258,0
727,0
594,0
563,0
711,0
21,0
715,0
116,0
734,0
269,0
283,0
503,0
460,0
484,0
25,0
669,0
661,1
552,0
482,0
600,0
165,0
536,0
269,0
455,0
634,0
566,0
364,0
719,0
383,0
712,0
794,0
751,0
726,0
481,0
444,0
462,0
153,1
422,0
650,0
695,0
209,0
369,0
163,0
410,0
209,0
554,0
522,0
88,1
736,0
379,0
265,1
662,0
29,0
468,0
171,0
568,0
84,0
388,0
671,0
342,0
306,0
371,0
641,1
728,0
555,0
680,1
204,0
114,0
60,0
782,0
591,0
576,0
387,0
43,0
777,0
284,0
229,1
382,0
104,1
686,0
281,0
388,0
718,0
452,0
561,0
40,0
495,0
101,0
587,0
649,0
63,0
271,0
547,0
359,0
490,0
34,0
404,0
35,0
658,0
321,0
480,0
525,0
280,0
472,0
739,0
225,1
459,0
412,0
196,1
493,0
589,0
759,0
440,0
528,0
127,0
121,0
617,0
664,0
140,0
687,1
86,0
34,0
395,0
601,0
648,0
238,1
741,0
486,0
187,0
154,0
788,1
397,0
168,0
265,1
491,0
544,0
490,0
434,0
267,0
277,1
636,0
107,0
782,0
579,0
608,0
207,0
25,0
194,0
249,0
67,1
252,1
190,0
145,0
574,0
247,0
356,0
172,1
435,0
71,0
39,0
54,0
623,0
292,0
53,0
470,0
586,0
569,0
206,0
426,0
213,0
261,0
465,0
573,0
227,0
780,0
681,0
667,0
18,0
775,0
676,0
11,0
180,0
234,0
129,0
768,0
717,0
696,0
176,0
437,0
764,0
424,0
242,0
11,0
313,0
336,0
95,0
330,0
464,0
83,0
597,0
535,0
157,0
472,0
437,0
343,0
646,0
366,0
211,0
628,0
204,0
722,1
463,0
345,0
246,1
456,0
560,0
282,0
703,0
4,0
371,0
277,1
752,0
716,0
467,0
682,0
38,0
714,0
198,1
80,0
6,0
719,0
419,0
657,0
145,0
324,0
321,0
621,0
747,0
578,0
431,0
42,0
781,0
643,1
458,0
317,0
411,0
607,0
160,0
743,0
77,0
197,0
52,1
685,1
740,0
322,0
742,0
644,0
55,0
218,1
436,0
195,0
618,0
291,0
156,0
512,0
652,0
382,0
283,0
758,0
418,0
524,0
366,0
336,0
32,0
429,0
262,0
216,0
285,0
509,0
310,0
392,0
428,0
112,0
773,0
433,0
500,0
44,0
647,0
785,0
22,0
713,0
695,0
686,0
645,0
244,1
605,0
480,0
247,0
111,0
146,0
550,0
180,0
236,0
255,0
425,0
47,0
210,0
316,0
605,0
390,0
733,0
671,0
48,0
401,0
696,0
413,0
49,0
226,1
761,0
154,0
317,0
756,0
372,0
38,0
769,0
310,0
497,0
215,0
651,0
12,0
106,0
200,0
374,0
307,0
399,0
704,0
176,0
203,0
348,0
638,0
647,0
314,0
548,0
286,0
19,0
150,0
447,0
278,0
638,0
558,0
421,0
541,0
689,0
14,0
716,0
16,0
741,0
326,0
452,0
338,0
573,0
233,0
131,0
329,0
256,0
451,0
629,1
273,0
243,0
376,0
394,0
402,0
603,0
455,0
238,1
514,0
755,0
138,0
531,0
698,0
675,0
346,0
683,0
620,0
326,0
715,0
784,0
745,0
422,0
678,0
170,0
656,1
358,0
228,0
495,0
440,0
378,0
298,0
681,0
677,0
294,0
289,0
143,0
464,0
745,0
684,0
325,0
778,0
586,0
151,0
783,1
674,0
344,0
641,1
752,0
93,0
85,0
307,0
296,0
196,1
155,0
774,0
734,0
92,0
177,0
624,1
690,0
712,0
368,0
683,0
41,0
625,0
504,0
479,0
132,0
328,0
516,0
730,0
563,0
633,1
628,0
133,0
31,0
565,0
274,0
551,0
561,0
694,0
777,0
536,0
185,0
456,0
254,0
63,0
718,0
253,1
13,0
341,0
199,0
766,0
339,0
579,0
147,0
765,0
581,0
104,1
724,0
556,0
639,0
608,0
469,0
425,0
350,0
77,0
609,0
767,0
539,0
324,0
275,0
309,0
793,0
20,0
1,0
302,0
45,0
300,0
540,0
398,0
738,0
322,0
666,0
105,0
186,0
771,0
406,0
23,0
305,0
585,0
733,0
571,0
738,0
17,0
94,0
118,0
554,0
5,0
461,0
749,0
529,0
151,0
288,0
616,0
293,0
9,0
510,0
549,0
447,0
654,0
725,0
58,0
368,0
754,0
693,0
257,0
24,0
791,0
214,0
354,0
625,0
703,0
349,0
194,0
44,0
114,0
731,1
117,1
594,0
446,0
471,0
510,0
496,0
477,0
228,0
306,0
318,0
624,1
27,0
267,0
7,0
513,0
407,0
587,0
79,0
279,0
409,0
450,0
119,0
460,0
333,0
433,0
474,0
19,0
201,0
116,0
466,0
516,0
602,0
700,0
617,0
637,0
178,0
592,0
441,0
794,0
225,1
14,0
620,0
685,1
390,0
264,0
71,0
375,0
596,0
7,0
502,0
721,0
450,0
220,0
427,0
128,0
167,0
192,0
474,0
746,0
132,0
94,0
98,0
457,0
434,0
149,0
646,0
430,0
195,0
92,0
327,1
266,0
699,0
212,1
781,0
492,0
60,0
53,0
616,0
486,0
708,1
795,0
725,0
166,0
612,0
786,1
665,0
551,0
121,0
296,0
338,0
162,0
779,0
753,0
87,0
747,0
565,0
207,0
316,0
532,0
426,0
402,0
205,0
448,0
41,0
6,0
189,0
501,0
493,0
70,0
78,0
532,0
363,0
645,0
337,0
378,0
599,0
222,0
649,0
755,0
101,0
657,0
331,0
370,0
301,0
16,0
250,0
295,0
478,0
177,0
131,0
62,0
315,0
224,0
355,0
504,0
656,1
36,0
542,0
130,0
535,0
720,0
233,0
345,0
206,0
483,0
783,1
128,0
476,0
24,0
670,0
311,0
546,0
639,0
183,0
767,0
614,0
150,0
288,0
533,0
102,0
438,0
311,0
566,0
141,0
69,0
527,0
59,0
626,0
200,0
689,0
513,0
588,0
675,0
506,0
489,0
319,0
175,0
258,0
750,0
259,0
545,0
582,0
299,0
473,0
519,0
188,1
245,1
389,0
349,0
35,0
496,0
138,0
89,0
215,0
550,0
529,0
126,0
148,0
776,0
367,0
568,0
581,0
789,0
702,1
135,0
384,0
784,0
161,0
476,0
169,0
459,0
404,0
462,0
553,0
449,0
103,1
91,1
439,0
99,0
95,0
383,0
534,0
765,0
750,0
722,1
614,0
174,0
252,1
120,0
500,0
323,0
761,0
498,0
768,0
286,0
759,0
223,1
661,1
602,0
347,0
64,0
771,0
487,0
720,0
219,0
100,0
637,0
401,0
499,0
577,0
466,0
304,0
724,0
379,0
90,0
160,0
666,0
72,0
791,0
525,0
398,0
682,0
407,0
75,1
667,0
171,0
159,0
231,0
757,0
268,0
141,0
241,0
66,0
714,0
76,0
229,1
61,0
172,1
350,0
543,0
361,0
393,0
153,1
127,0
372,0
428,0
445,0
274,0
659,1
203,0
430,0
31,0
18,0
182,0
751,0
642,0
415,0
397,0
555,0
488,0
148,0
523,0
249,0
364,0
610,0
276,0
601,0
365,0
264,0
615,0
705,1
701,0
505,0
438,0
43,0
244,1
693,0
643,1
193,0
772,0
380,0
347,0
778,0
337,0
465,0
54,0
527,0
564,0
210,0
540,0
481,0
387,0
619,0
96,0
367,0
335,0
13,0
640,0
557,0
658,0
531,0
375,0
735,0
285,0
340,0
241,0
706,0
66,0
688,0
660,0
293,0
723,0
263,0
57,1
792,0
37,0
623,0
21,0
190,0
353,0
795,0
663,0
112,0
670,0
672,0
427,0
698,0
239,1
234,0
477,0
352,0
595,0
519,0
211,0
57,1
632,0
748,0
30,0
184,0
251,0
339,0
598,0
82,0
352,0
351,0
105,0
740,0
611,0
313,0
634,0
213,0
184,0
732,0
373,0
226,1
655,1
260,0
5,0
186,0
37,0
181,0
711,0
292,0
341,0
567,0
299,0
583,0
323,0
405,0
179,1
772,0
333,0
419,0
676,0
68,0
562,0
377,0
400,0
629,1
547,0
699,0
86,0
770,0
355,0
90,0
626,0
679,0
598,0
596,0
156,0
526,0
280,0
664,0
518,0
779,0
376,0
166,0
644,0
191,0
232,0
636,0
2,0
687,1
99,0
453,0
10,0
530,0
760,0
392,0
314,0
521,0
545,0
400,0
631,0
494,0
414,0
22,0
473,0
520,0
417,0
723,0
253,1
537,0
762,0
84,0
457,0
219,0
235,0
231,0
178,0
49,0
692,1
202,0
665,0
424,0
461,0
15,0
59,0
164,0
694,0
788,1
335,0
17,0
354,0
28,0
46,0
124,0
185,0
650,0
454,0
158,1
403,0
36,0
353,0
357,0
348,0
102,0
130,0
80,0
2,0
408,0
4,0
648,0
539,0
294,0
710,0
110,0
607,0
509,0
411,0
291,0
142,0
517,0
10,0
308,0
548,0
582,0
202,0
309,0
789,0
416,0
134,0
520,0
467,0
522,0
30,0
9,0
73,0
492,0
702,1
271,0
458,0
710,0
585,0
409,0
668,0
235,0
79,0
730,0
391,0
73,0
556,0
680,1
709,0
744,0
243,0
502,0
279,0
109,0
732,0
642,0
51,0
248,1
612,0
88,1
136,0
360,0
62,0
514,0
118,0
144,0
521,0
224,0
420,0
653,0
262,0
373,0
96,0
217,0
256,0
590,0
507,0
115,0
363,0
187,0
129,0
