unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
0,4537.0,15.123333,1.0,20.671309,0.0,0.0,0.0,0.0,0.005,0.00032577582,-114.069664,0.062122785,0.06789595,0.010359269,0.0,0.0,4.8,0.05085777,0.017995711,0.01250297,1.0221785,166.18504,0.02235951,6.820175,0.5373599,0.8825,0.003131579,0.0006766667,-0.23791227,0.00027666666,304472.22,-32504.516,1.0,1.0
1,4463.0,14.876667,1.0,10.321968,0.0,0.0,0.0,0.0,0.005,0.0003808913,-56.144753,0.12102306,0.09312837,0.0107550975,0.0,0.0,5.02,0.054047577,0.023322795,0.024418648,0.97926104,312.3341,0.006848719,8.640841,0.5714212,0.896,0.0028421052,0.00055,-0.28827894,0.00024333333,206117.84,-21215.08,1.0,1.0
2,4568.0,15.226666,1.0,14.061307,0.0,0.0,0.0,0.0,0.005,0.000898782,-76.25385,0.096227236,0.14241563,0.009851138,0.0,0.0,5.83,0.026269995,0.010942489,0.010716488,1.0248963,36.211155,0.6622537,3.047834,0.3304679,0.841,0.0127631575,0.0006233333,-0.21312273,0.00022666667,211573.06,-18747.379,1.0,1.0
3,4517.0,15.056666,1.0,0.6165097,0.0,0.0,0.0,0.0,0.005,0.00030344413,-1.5253417,3.511821,3.4370985,0.010405136,0.0,0.0,4.6,0.10326231,0.036078867,0.021642921,1.0747831,1.9862032,8.743682,0.89345676,0.00040187544,0.1125,0.042026315,0.00072666665,-0.12626204,0.00030333333,4004.6794,-1687.5544,0.0,2.0
4,4565.0,15.216666,1.0,9.129902,0.0,0.0,0.0,0.0,0.005,0.0005834413,-48.278343,0.16186368,0.22886066,0.009857613,0.0,0.0,5.42,0.034128573,0.014192856,0.015443022,0.9612283,42.293194,0.648403,3.1715088,0.32442844,0.822,0.013473684,0.00074,-0.23751748,0.00024666666,119427.46,-13425.854,1.0,1.0
5,4426.0,14.753333,1.0,0.34874538,0.0,0.0,0.0,0.0,0.005,0.00025110066,1.0629652,305.21405,461.76575,0.0103931315,0.0,0.0,5.02,0.097425774,0.03759063,0.029879034,1.0291432,2.0619175,8.53762,1.0567867,0.00089761417,0.0885,0.05068421,0.0004,-0.2583067,0.00282,4880.489,-1098.3822,1.0,5.0
6,4497.0,14.99,1.0,16.385452,0.0,0.0,0.0,0.0,0.005,0.00035250647,-89.68451,0.07752292,0.13665111,0.008450078,0.0,0.0,5.61,0.05325506,0.017348872,0.004759326,0.98927134,192.79013,0.018467529,6.1848726,0.5413711,0.8795,0.0028157895,0.00061,-0.21822737,0.00027333334,262821.8,-25025.13,1.0,1.0
7,4560.0,15.2,1.0,2.9237604,0.0,0.0,0.0,0.0,0.005,0.0008221708,-14.134281,0.64877605,0.9083159,0.012061403,0.0,0.0,6.02,0.052281607,0.019432537,0.013078592,1.1390572,3.9637535,8.598634,0.8494814,0.1270164,0.6305,0.015131579,0.00049,-0.26548386,0.00025666668,55965.574,-6680.493,1.0,1.0
8,4462.0,14.873333,1.0,18.830357,0.0,0.0,0.0,0.0,0.005,0.00023872091,-103.988045,0.06668264,0.08283974,0.009861049,0.0,0.0,4.41,0.03739913,0.012979853,0.008032883,0.9914159,207.69356,0.01447648,6.7884917,0.49579778,0.877,0.0040526316,0.00053,-0.1571305,0.00026,332097.75,-20194.637,0.0,1.0
9,4483.0,14.943334,1.0,12.606135,0.0,0.0,0.0,0.0,0.005,0.0001439925,-67.4669,0.09705833,0.069944344,0.010037921,0.0,0.0,4.83,0.037750784,0.012446281,0.0067366967,1.0217766,340.56116,0.01214581,12.06618,0.5517966,0.871,0.0032894737,0.00072333333,-0.2566303,0.00027,172106.14,-22952.385,1.0,1.0
10,4539.0,15.13,1.0,0.34538016,0.0,0.0,0.0,0.0,0.005,0.00045947687,0.777472,51.830494,74.61719,0.01079533,0.0,0.0,6.24,0.08552036,0.030213725,0.026762245,1.0581133,1.917521,8.737986,1.012172,-0.015965372,0.087,0.050921053,0.00098,0.006616665,0.00269,,,0.0,3.0
11,4674.0,15.58,1.0,0.30577424,0.0,0.0,0.0,0.0,0.005,0.00022721144,1.1287992,379.41306,603.05963,0.010055627,0.0,0.0,5.81,0.14555441,0.046461757,0.009291637,1.058073,2.3313627,8.556955,0.9847948,0.00012300331,0.0665,0.049105264,0.00062,0.078185245,0.00294,,,0.0,4.0
12,4476.0,14.92,1.0,0.27279082,0.0,0.0,0.0,0.0,0.005,0.0006897896,0.91939926,320.2414,541.72186,0.009606792,0.0,0.0,4.63,0.11189989,0.03878514,0.02916528,1.0685962,1.8226335,8.739054,0.9691752,-0.002766222,0.077,0.04886842,0.00027,-0.15541841,0.0027666667,4264.3335,-241.11798,0.0,2.0
13,4493.0,14.976666,1.0,0.4597467,0.0,0.0,0.0,0.0,0.005,0.00028898014,1.1270232,115.10557,159.07767,0.0073447586,0.0,0.0,5.82,0.05170286,0.022122528,0.023251647,1.0139718,2.0605876,8.69732,0.99725115,-0.008065874,0.088,0.048131578,1e-04,0.06631728,0.0027233334,,,0.0,5.0
14,4551.0,15.17,1.0,0.40659428,0.0,0.0,0.0,0.0,0.005,0.00083981914,1.0665014,82.673225,131.17465,0.01142606,0.0,0.0,6.45,0.069880754,0.025488501,0.019245643,1.1277602,1.7507093,8.82198,0.92102283,-0.033791777,0.084,0.05336842,0.00162,-0.14578737,0.0023766668,437.88718,-6868.629,0.0,2.0
15,4447.0,14.823334,1.0,0.3462668,0.0,0.0,0.0,0.0,0.005,0.0003628126,1.0035373,190.97061,319.49213,0.011918147,0.0,0.0,5.24,0.05781119,0.021840375,0.019739263,1.019399,1.9834824,8.726874,0.9334124,-0.0025238593,0.0885,0.0495,0.00086666667,-0.12484883,0.0027133333,873.40283,-825.0154,0.0,3.0
